[T']6x6-14-10012    fffoOoqoooqffofqqfffoOoffffoqqqfoqqq    4x2,3x2,2x3,1x12,-1x1,-3x1
[T']6x6-14-11290    qffffooqfqoOfoofoqfqqofofqoqOQfqfffq    2x9,1x8,-2x3
[T']6x6-14-11311    OoqqqffooqqffffqffoffOfoqOfOfoqqqfqO    4x2,3x3,2x3,1x9,-1x1,-4x1
[T']6x6-14-11413    ooOoqfqofqfqffqfqofooffffqqooqfffOoq    3x1,2x9,1x9,-3x1
[T']6x6-14-11419    qooOqfOofoofoffoqffqOfoqqfqofqqfffof    4x1,3x2,2x5,1x13,-1x1
[T']6x6-14-11498    ofqfffqoffffqOqfqqoqqofOffffooqqqooo    4x1,3x2,2x6,1x12,-2x1
[T']6x6-14-11647    fqfoOqffqoqqfOoooffofofqOqofqooffffq    3x1,2x9,1x9,-2x2
[T']6x6-14-11649    oOoffffqqfqffqqfoffoooofqqqOoofffqqq    2x8,1x11,-1x1
[T']6x6-14-11688    oOoofqqfoqfqoOfffofqoffqffqooffOfoqq    2x9,1x9,-1x1,-2x2
[T']6x6-14-11701    ffffqqoooqqfoOfoqfqqffofqfoofofoOoof    4x2,3x2,2x6,1x9,-1x1
[T']6x6-14-11723    qOfffqOfoqoofOqfOqfqfffffqOfqooofqqO    4x2,3x1,2x3,1x9,-1x1,-2x1,-3x2
[T']6x6-14-11734    qoqffqofffffofqofqfoofoooqqoOofffooq    3x1,2x7,1x12,-2x1
[T']6x6-14-11796    qfooOofffoqfQfooofofqfqfOfoqfqooofqf    2x9,1x11,-2x3
[T']6x6-14-11818    ofOfffqqfoqqfoofoffoqofqfqofffooOoqq    2x9,1x14,-2x1
[T']6x6-14-11857    fffqqqoqqfoqofofffofoofOOffOqfqOqfoq    4x1,3x3,2x2,1x11,-1x1,-2x2
[T']6x6-14-11899    qqqoOoqooofoofooffqfoqfOqfqfqqffffff    4x2,2x3,1x13,-2x1
[T']6x6-14-11906    oqQOfqqqffqofffffOOqfoffqfoqffoOooqo    4x3,2x5,1x9,-1x1,-2x1,-3x2
[T']6x6-14-11910    oqffffqofqoqfqqfOqfoOofqfffffOqqoooO    4x2,3x3,2x3,1x10,-1x1,-2x1,-4x1
[T']6x6-14-11935    qqfQoooqoffqfqfOfoofOOfOqqfoooqfffff    4x2,3x1,2x5,1x13,-2x2,-3x1
[T']6x6-14-12002    oOqfqfoofofoofofooffooqofqfqqOfQfffo    3x2,2x7,1x14,-1x1
[T']6x6-14-12048    fQfqooQffqfoOfffqoOffoOfoofOfqqqofOq    3x2,2x6,1x10,-1x1
[T']6x6-14-12103    OoOqqqfofooqofqfqofoffoqqqoffqfffqff    2x8,1x11,-1x1,-2x1
[T']6x6-14-12114    qfffffqofqoqfoqfoqfooofOfqqqqoqfffoo    2x10,1x10,-1x1
[T']6x6-14-12120    qqfOQqqqOffffffffoqofofOoOoqqoqoofff    4x2,2x3,1x12,-1x1
[T']6x6-14-12170    qqoqfqfoOofofoqffffqoofofooqfqqqfffq    3x1,2x8,1x9,-1x1,-2x3
[T']6x6-14-12188    fffffqfqqfoqfqoqfoOqooofooqqqoqoffff    3x1,2x7,1x10,-1x1,-2x1
[T']6x6-14-12211    oqfffqqqqfqofqqffofQofoofqfofofoOoof    3x1,2x7,1x10,-1x1,-2x1
[T']6x6-14-12249    oQqofoOffffqooooffqoffqfoffqoffqoOqo    4x3,3x2,2x5,1x13,-1x1,-2x2
[T']6x6-14-12286    fffoqqqqqOofOqoqqfofffqfooooqffffqqf    2x8,1x10,-1x1
[T']6x6-14-12380    ofqqqqqfoqoffffoqfofqOoffOoqqfoqqfff    3x2,2x6,1x11,-1x1,-2x1
[T']6x6-14-12476    qqfffqqfffqOffooffOfoofoOoqfOqoofqqq    3x2,2x6,1x10,-1x1
[T']6x6-14-12489    qfffooqfqfoofOoqfOqffooqofofooffqqfq    3x2,2x6,1x14,-2x2
[T']6x6-14-12500    oooofqoqqfooOffooOqqffofqqffqfqffOff    3x1,2x7,1x12,-1x1
[T']6x6-14-12504    oqqqqqOoofOoofofffofqooffffQfQofffqq    4x1,3x4,2x2,1x13,-2x2
[T']6x6-14-12506    qofffqoqoqfoOoooofqfoqqofffqoqfffffq    3x1,2x9,1x9,-1x1
[T']6x6-14-12521    qooqqfqooofoqOffffqfoqfQqfOofqOfqfff    4x1,3x3,2x3,1x10,-1x1,-2x1
[T']6x6-14-12532    OqfqofffOofqfqqfQffofofqqfqfoOfooooo    4x1,3x3,2x5,1x11,-1x1,-2x1
[T']6x6-14-12652    fqofooqfqofOfffOffqooffqOOqoqOfffooo    4x1,3x2,2x6,1x14,-2x1,-4x1
[T']6x6-14-12662    ffffqqooqfoqqOofOoofoqfQfffoqfqfqfqq    4x2,2x2,1x14,-1x1,-3x1
[T']6x6-14-12674    oqofqfoofqfoOfofqoqofOofqfoqoffqqfff    4x2,3x4,2x7,1x8,-1x1
[T']6x6-14-12683    fofooffqofqffqoqffqfoqfqqfqofQqfoOoo    3x1,2x9,1x11,-1x1,-2x1
[T']6x6-14-12715    fffQqffffffqqqofoqfooofOofqqooqqfqqo    3x2,2x7,1x9,-1x1,-2x1
[T']6x6-14-12757    ffffofofqoqfqfoqqfofooOfooqOqqoOfffq    4x2,3x1,2x3,1x13,-1x1
[T']6x6-14-12885    foffffqfoqfqoofoqffOoOooqfOoqqfffqqq    3x2,2x7,1x12,-2x1
[T']6x6-14-12890    oqoooqfOoffffqofoqffooffoofqofoOqfqf    3x1,2x7,1x12,-1x1,-3x1
[T']6x6-14-12891    qffffOoqqOfQOfqoqfqfffqqoffffoqOOqOo    4x2,3x3,2x2,1x7,-1x1,-3x2
[T']6x6-14-12903    qqffqqQfOfqqfqqffffOofofOfoOqfqqfoqq    4x2,3x1,2x2,1x8,-1x1,-2x1
[T']6x6-14-12994    ofoofqfOfffqqfoffffofqfoqoOofoqqoooq    3x1,2x8,1x12,-1x1
[T']6x6-14-7033 qqofffqqfoqofoOfOfofffffoqffoqOqOOqo    4x2,3x1,2x3,1x13,-3x1,-4x1
[T']6x6-14-7034 qoOqffqofoffqfffffqqoofqqoofofOofqqo    2x8,1x10,-1x1,-2x2
[T']6x6-14-7077 fffqqfofqqqfofqqffOoofoooqoqOqoffffo    3x1,2x8,1x10,-2x1
[T']6x6-14-7136 qqqoOoqooqqfooofqffofqfffqofOffofqff    2x9,1x8,-1x1
[T']6x6-14-7144 qqfffqqqfofqqfffofqqoofoOOqooffffOoo    4x1,3x2,2x6,1x11,-1x1
[T']6x6-14-7148 OooffffqoOOqqfqoqqqqfffQfffofoOfqqfq    4x3,2x1,1x5,-1x1,-2x1,-3x1
[T']6x6-14-7157 fqfffffoqffqfoofqoqfofqooOfqoooqofqO    3x2,2x6,1x11
[T']6x6-14-7163 qqfoqqfffqoOfOfoqofqooffOfqfqfoqfqqf    4x2,3x1,2x3,1x8,-1x1,-4x1
[T']6x6-14-7170 qfoOqoffffofqfoqffooOoffoqqoffqqofoq    3x1,2x9,1x10,-1x1,-2x1
[T']6x6-14-7205 fooooofffoqOoqfffofOOqfqqfooOfqfffqo    2x9,1x13,-1x1
[T']6x6-14-7226 ffffffqqqqqqqofofqffoofOfqoOfofqqooq    4x2,3x1,2x4,1x13,-1x1,-3x1
[T']6x6-14-7244 fffqqooqfqfqOfffqqfOfqOqqOfqqoqfffoq    4x2,3x3,2x5,1x8,-1x1,-2x1,-3x3
[T']6x6-14-7246 ooOoqOfqofOffqfofofOffofoofqqfqfooqf    3x1,2x7,1x14
[T']6x6-14-7265 qqoqqffqfqfqffofoqfooofOofoqooffffoo    4x1,3x2,2x9,1x10,-1x1,-2x1,-4x1
[T']6x6-14-7283 qofffqooqqooOofofqfqoffffqfofqffOOoq    3x2,2x7,1x9,-1x1,-2x1
[T']6x6-14-7293 offffqOqofqooooffofqooofffqooqfffqqq    2x9,1x9,-1x1
[T']6x6-14-7316 fffooqOqoOofqqofofOqfoqffffffqfOqoqq    4x3,3x3,2x2,1x10,-2x1
[T']6x6-14-7353 qqqofqoqofffOofffoqffofOOfffOfqqOoqo    4x2,2x5,1x13,-1x1
[T']6x6-14-7472 oOoffffqofqofoqfOOfoqofqfqoqfffqqqfq    4x2,3x1,2x5,1x10,-1x1
[T']6x6-14-7477 qooooqffffqOqfqofofqooOfffooqqfofffq    3x1,2x7,1x10,-1x1
[T']6x6-14-7487 qOofqfoqfOqfffffqfoqfofofffqooqoqOoq    4x1,3x2,2x7,1x7,-1x1,-2x2
[T']6x6-14-7521 qOfffOfqoOfQOfqoofqoffqooofffqqfoofq    4x1,3x3,2x4,1x10,-1x1,-2x1
[T']6x6-14-7533 offfffoOfOfooqfqqffffoooqfooqqqfqOqq    3x1,2x8,1x9,-1x1,-2x1
[T']6x6-14-7542 qfffoOQqfffqqfooOffffOoqofOfqoqoOqfq    4x2,3x2,2x5,1x7,-2x1
[T']6x6-14-7567 qqoqofqoOofqfoofqOfqoffffoqoqfqfffqf    3x1,2x8,1x12,-1x1
[T']6x6-14-7592 qqoOfqqfffqooqfoOoqofoofqfoqoffqffff    4x2,3x2,2x3,1x11,-1x1,-3x1
[T']6x6-14-7629 fffoqqOqooqqofoOoqfofoOffqoffqfqqfff    3x2,2x7,1x12,-1x1
[T']6x6-14-7650 OooqqfqoooofoffooffOffqooffffoQqffqq    3x2,2x7,1x9,-1x1,-2x1
[T']6x6-14-7652 OofffqqooqqqoooofqfoofqOfffqfoqfffOf    4x2,3x1,2x4,1x9,-1x1,-2x1
[T']6x6-14-7654 qoOqoffOfoqffoofqffqfqfqqfoqffoOoofo    4x1,3x2,2x8,1x12,-1x1,-2x1
[T']6x6-14-7669 qffffqofooqqooffqooOoffffffoofOqqOoq    4x1,3x2,2x6,1x8,-1x1,-2x2,-3x1,-4x1
[T']6x6-14-7670 qqoqOqqOfffqoqoqOfffqfOfqffoqfqfffqq    4x1,3x3,2x2,1x11,-2x2
[T']6x6-14-7702 OoofffqooqqqfffooofOqofqofffqqOofffq    3x1,2x7,1x11,-2x1
[T']6x6-14-7734 fffOoqqqoooqqfooqoqofffooffffoffQfoq    3x2,2x7,1x9,-2x1
[T']6x6-14-7742 fffooqqooooffofoofffoffffqOoofOooooq    3x2,2x9,1x14,-2x1
[T']6x6-14-7749 Ooffffoooqoqoofoqqqfoooqfoqfffqffffq    3x1,2x7,1x10,-2x1,-3x1
[T']6x6-14-7804 fffoOofqooqffooofOOfqffooofffooqqfqq    4x2,3x1,2x5,1x14,-1x1
[T']6x6-14-7884 qoqffffqfqqffQfooffqfofoooqfooOqfOoo    4x2,3x2,2x4,1x12,-1x1,-2x1
[T']6x6-14-7885 fqqfffofffoqoqfooqoOqqqOqofffofffqQq    3x1,2x10,1x7,-1x1,-3x1
[T']6x6-14-7891 fffooqqooqfqooOqfffqofffOfqoqfqqfqqf    4x1,3x2,2x6,1x6,-1x1
[T']6x6-14-7916 qfooOooOffqoooffooQfoffofoOffqoqfqff    3x2,2x7,1x14,-1x1,-2x1
[T']6x6-14-7962 OffqqffffqfqqOffooqooqfOqoOfqofffqoo    3x1,2x9,1x9,-1x1
[T']6x6-14-8004 qfffqqOfOOoqffoqofoffoofqoofqfqqqqff    3x2,2x7,1x10,-1x1
[T']6x6-14-8006 qoOofqfQffofqffOffOffoofooofqfoooqOq    4x1,3x2,2x7,1x15,-3x1
[T']6x6-14-8033 fofqqqqfqfqffoffQfooofofoQqooofffoOq    3x2,2x7,1x6,-2x2
[T']6x6-14-8038 qffffqfqooooofQqOfqffoqfoffOofoqqfqO    4x2,3x1,2x3,1x16,-1x1,-2x1,-3x1
[T']6x6-14-8050 qqoOffffofqffofooffqffooqofofoOoqoOo    3x1,2x8,1x13,-2x2
[T']6x6-14-8055 oOfqooqoqfOooofofooffffofqfqfoOfoqff    4x2,3x3,2x7,1x11,-2x1,-4x1
[T']6x6-14-8056 qqOfqqqqfOOfofOqffqqqfOfqqfoqOqfffff    4x3,3x3,2x2,1x4,-1x1,-2x1,-3x2
[T']6x6-14-8073 qqqfoqqffffoffofoOfofoqffqOoofqqoqqf    3x1,2x7,1x10,-1x1
[T']6x6-14-8087 qqfoqoqfffoOfqoofQOofOqfooqfqoofffff    4x1,3x2,2x5,1x13,-1x1,-2x1
[T']6x6-14-8157 ooofffOqooqfOfqoqffqfffqfOofqofqfOqq    4x2,3x2,2x4,1x8,-1x1,-2x1
[T']6x6-14-8193 qqqfoqofffqoqffoOqofqOoffffqOfofOqqf    4x3,3x1,2x2,1x7,-2x3,-3x1
[T']6x6-14-8212 qqfqqqfOofoqfOoofffoOqoffoffffqOOqqf    4x2,3x4,2x4,1x10,-1x1
[T']6x6-14-8238 qqoqoqqoOoofofqofoffofoffffofqffqfoq    3x1,2x8,1x13,-1x1,-3x1
[T']6x6-14-8286 qqqfffoffffoofooOfOofffooofoqOofqqoo    4x2,3x1,2x6,1x15,-1x1
[T']6x6-14-8320 foqfffqfqOqoqqfooOfqqofqfffofqfoOqfq    4x2,2x4,1x7,-1x1,-2x1
[T']6x6-14-8401 ffqfffqfQqqoqffoqqfoOoOfqfoofoqqffqQ    4x1,3x3,2x4,1x13,-1x1
[T']6x6-14-8432 oQfqfqQfoqfffoOoffoqfqqfofffoOqofqoo    3x1,2x7,1x11,-1x1
[T']6x6-14-8438 qooOofqfofqfqqfoOfffffooqofofooqqfof    3x2,2x6,1x12,-1x1,-2x1
[T']6x6-14-8441 qfofqfoffOfoofoffOoofofqooofqfqOoqfq    4x1,3x3,2x3,1x11,-1x1,-3x1
[T']6x6-14-8472 offffqoqqfqOOoqOfffqoqfffqoffqfqoooq    2x11,1x8,-1x1,-2x1
[T']6x6-14-8498 foofOqfoOofOfofoqfoqfOofqfffqfqqqoof    4x1,3x4,2x6,1x8,-1x1,-2x1
[T']6x6-14-8507 offfqfOqoOfoooofoOofqoqqfffqoqoqffff    2x8,1x13,-1x1,-2x1
[T']6x6-14-8537 fqqqfqfqoofofooffQfofOoOqoqfqoqffffo    3x1,2x10,1x9,-1x1
[T']6x6-14-8540 foOOqqfffffqqqfoOoqqfqqofffffofooooo    2x10,1x10,-1x1
[T']6x6-14-8561 qfqoqqqfoOoofffoofoqofofOoqfffofffqq    3x1,2x8,1x11,-1x1
[T']6x6-14-8570 qfqfffffoqofofqoOffOfooqfOofqqfqOqqq    4x1,3x3,2x5,1x7,-1x1,-3x1
[T']6x6-14-8591 oqffffqffffoqfofqoOoffqooofqoqqfoOqq    4x2,3x2,2x7,1x9,-1x1,-2x1
[T']6x6-14-8617 qofOoqffOqfqfoqfOofffooqqOoqqqqfffff    4x2,3x2,2x2,1x12,-1x1
[T']6x6-14-8627 fffqfqqqoofoqofofqqfooOofqfoqoqffffq    3x1,2x10,1x7,-2x1
[T']6x6-14-8680 fffffoqOfoqOqfqooqfoooqqqofffqfffqqq    4x2,3x1,2x5,1x10,-1x1,-4x1
[T']6x6-14-8702 qqqOofqffoqfqffqOffqofoqfqqOoOfoqfff    4x2,2x7,1x6,-1x1,-3x1
[T']6x6-14-8706 OoQfqqqffoqqqffOfOffofoffofoqfqqoOof    4x1,3x2,2x10,1x7,-1x1,-2x2
[T']6x6-14-8708 oqqooffoOqofqfoqffffffqoqfqfOqfqOofo    3x1,2x8,1x12,-2x1
[T']6x6-14-8716 foOqfofqffqOfffooqqqfofqoqqfooqqfffO    4x2,3x1,2x5,1x9,-1x1,-2x1
[T']6x6-14-8765 ofqfffqqfoofqfqfoffooooOoqoqooffffoq    3x1,2x7,1x11,-1x1,-2x1,-3x1
[T']6x6-14-8791 OqfofoofoqfofOoofqqoofofoqfoffqfqfqf    2x9,1x13,-1x1,-2x1
[T']6x6-14-8819 qqOfOqqffffooOfOofOfofoofoqqfoqfffqo    4x2,2x4,1x15,-1x1,-2x1
[T']6x6-14-8839 foOqqoqfqoooqOffofooqqfoffffofqqfffq    3x1,2x10,1x8,-1x1
[T']6x6-14-8873 qqqfffffooqqfqfoqqfOofffoOfofqofoqOo    4x1,3x3,2x4,1x10,-1x1
[T']6x6-14-8880 qoofqqoooffoOofoofqfooqOfofffffffqqq    3x2,2x6,1x11,-1x1
[T']6x6-14-8941 oqofOqfqfOOffffoqfoffooffooOfqoqofoO    4x2,3x2,2x6,1x11,-1x1,-3x2
[T']6x6-14-8945 fffqqqofofOoffqofqOfqOoqoqqoqqfffffq    3x1,2x7,1x11,-1x1,-3x1
[T']6x6-14-9005 offfffOqoqqoooqoOfoofffooffffqqoooqf    3x2,2x7,1x12,-1x1
[T']6x6-14-9006 fffOqooqffffOooOoqqfqqqoofffffqfqqqq    4x2,3x4,2x2,1x9,-1x1,-2x1
[T']6x6-14-9030 oqqOoffooofOqfoffqqffofqofqoqfqOqfff    3x1,2x8,1x14,-2x1
[T']6x6-14-9060 ooOooqqfqofooqfoffqOfffooooffqffffqo    4x1,3x2,2x6,1x13,-2x2
[T']6x6-14-9090 qqqfqqfqoofqfqOffffOOfoqofofqqqOfffo    4x2,2x3,1x9,-1x1,-2x1,-3x2
[T']6x6-14-9134 qOqOqffffoofqoOoofqofoffqqqfffqofqfo    4x2,3x2,2x5,1x11,-1x1,-2x2
[T']6x6-14-9135 OqfOoqqfqoqofoooffqofqffqfoffqfOffqo    4x2,3x2,2x6,1x11,-2x1
[T']6x6-14-9188 fqqfffqfofqfoqfoofofqOoqfOoqoqoQfffq    3x1,2x8,1x9,-1x1,-2x1
[T']6x6-14-9223 ooOffffqoqqqfqoooqfooqfofqfffoqfffoq    2x8,1x12,-1x1
[T']6x6-14-9346 foOfffqfOqOOOffoqqoofffoooffqqqfoofq    4x1,3x3,2x3,1x14,-1x1,-4x1
[T']6x6-14-9385 oooffffooqffoffOOfoqfoqqqfffoOfqqooq    3x2,2x7,1x9,-1x1,-2x1
[T']6x6-14-9490 qoooqoofffoOfqOffqffoffOfffoooqOfooq    3x2,2x6,1x11,-2x1
[T']6x6-14-9495 foooqqfffOqoffqoofqffofqofofoqfoqofq    3x2,2x6,1x13,-2x1
[T']6x6-14-9612 ooOoqQofoqfoffffOqooffOfOqffqfofoqqf    4x1,3x2,2x9,1x9,-1x1,-2x2,-3x2
[T']6x6-14-9624 foqfqofoOfoOfqfffqqofooqqqqfoOfffofo    2x9,1x11,-2x1
[T']6x6-14-9661 fffOfooqOfqOOofofqfqfOfqqfofqofqfqqq    4x1,3x3,2x8,1x4,-1x1,-2x2,-4x1
[T']6x6-14-9716 OfffffooqofqOfoqfqqfqooqqfOfffOfqqoq    4x2,2x7,1x8,-1x1,-2x1,-3x2
[T']6x6-14-9728 ofqfoqffqfqqqfofffoffoOOqOoqoOooofff    4x2,2x1,1x14,-1x1,-2x1,-3x2
[T']6x6-14-9752 oOooqfqfoOfqffffoqfOqfoofffofqqqoqof    2x9,1x11,-1x1
[T']6x6-14-9788 foOooffoofqffqofqfoqqffqqOfOfOofqqfq    4x1,3x3,2x3,1x11,-2x2
[T']6x6-14-9790 qofqOoffoooffooooffoofofqqofqqqqffff    3x1,2x10,1x10,-1x1
[T']6x6-14-9807 oOfqffooofffoofoffqfoooqfOoqqoqqfffq    3x1,2x9,1x12,-1x1
[T']6x6-14-9824 qfOqqqoqfffffoofoQfqfofofqfoOfqofqqo    3x1,2x7,1x13,-1x1,-2x1,-3x1
[T']6x6-14-9838 qoofffofooqfofffOfofofOoOoqoqqoqqfff    3x2,2x6,1x10,-2x1
[T']6x6-14-9848 qffffofqfoOqofooqqqoffffqoqfofqooOof    4x1,3x2,2x5,1x13,-2x1
[T']6x6-14-9870 ofqoofoqfOofOqofqffqooofffffofqqfoqq    4x1,3x2,2x6,1x12,-2x1
[T']6x6-14-9903 qqqffofqqfqofoffoOfqoOqfqoqoqffffoqf    2x9,1x8,-1x1
[T']6x6-14-9914 qqqqofffffqfqofoqfOqofOqqoqfOqqoffff    4x2,3x2,2x4,1x6,-1x1,-3x3,-4x1
[T']6x6-14-9922 oqofqqOoqofOfooffffqoffOfooffOqqfqfQ    4x1,3x2,2x6,1x9,-1x1,-3x1,-4x1
[T']6x6-14-9968 qfffqqqfOfqqqfoqfqoOqoqooofffffffqqo    4x1,3x3,2x4,1x6,-1x1,-2x1,-3x2
[T']6x6-14-9975 fffoqoqqqOfooqofoOfqffooqfoofoqfffof    2x8,1x14,-1x1,-2x1
[T']6x6-14-9989 fqqfqofqffffffooqooqofofqooofoOqofqf    3x2,2x6,1x10,-1x1,-2x1
